dataset,split,metric,class_name,method_column,value_percent,source_log,notes
ScanNet,validation,mIoU,wall,BaseOpt,87.37,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,wall,GAMPoint w/o EnhancedRPE,87.37,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,wall,GAMGAMPoint,87.21,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,floor,BaseOpt,96.44,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,floor,GAMPoint w/o EnhancedRPE,96.36,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,floor,GAMGAMPoint,96.27,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,cabinet,BaseOpt,71.12,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,cabinet,GAMPoint w/o EnhancedRPE,71.94,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,cabinet,GAMGAMPoint,73.8,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,bed,BaseOpt,83.53,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,bed,GAMPoint w/o EnhancedRPE,84.33,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,bed,GAMPoint,85.86,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,chair,BaseOpt,82.21,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,chair,GAMPoint w/o EnhancedRPE,92.36,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,chair,GAMPoint,92.01,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,sofa,BaseOpt,84.11,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,sofa,GAMPoint w/o EnhancedRPE,83.71,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,sofa,GAMPoint,86.15,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,table,BaseOpt,80.35,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,table,GAMPoint w/o EnhancedRPE,78.52,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,table,GAMPoint,79.45,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,door,BaseOpt,73.29,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,door,GAMPoint w/o EnhancedRPE,74.19,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,door,GAMPoint,72.29,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,window,BaseOpt,68.67,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
